Date,Obseved
2002/1,1.671903226
2002/2,1.444107143
2002/3,5.160032258
2002/4,10.93803333
2002/5,3.229774194
2002/6,2.560966667
2002/7,5.429322581
2002/8,14.334
2002/9,12.7664
2002/10,10.38529032
2002/11,2.2537
2002/12,1.560483871
2003/1,1.391580645
2003/2,1.302928571
2003/3,1.173967742
2003/4,12.5803
2003/5,2.884193548
2003/6,2.169666667
2003/7,5.853354839
2003/8,18.41616129
2003/9,14.42816667
2003/10,5.86574194
2003/11,5.445233333
2003/12,2.845516129
2004/1,1.682677419
2004/2,1.605517241
2004/3,2.575677419
2004/4,2.907066667
2004/5,5.483451613
2004/6,1.6115
2004/7,4.99616129
2004/8,10.01519355
2004/9,10.98386667
2004/10,9.572677419
2004/11,4.512466667
2004/12,1.831516129
2005/1,2.160129032
2005/2,1.773892857
2005/3,2.745548387
2005/4,1.851966667
2005/5,32.27948387
2005/6,13.19283333
2005/7,5.595903226
2005/8,16.26409677
2005/9,10.39313333
2005/10,2.943354839
2005/11,1.8244
2005/12,2.145903226
2006/1,2.07783871
2006/2,1.496928571
2006/3,11.62654839
2006/4,32.037
2006/5,19.80058065
2006/6,3.471933333
2006/7,35.6606129
2006/8,27.99374194
2006/9,24.5793
2006/10,11.17332258
2006/11,1.884566667
2006/12,1.778064516
2007/1,1.631322581
2007/2,3.202928571
2007/3,1.774032258
2007/4,15.01496667
2007/5,2.901967742
2007/6,5.3205
2007/7,11.55264516
2007/8,24.85845161
2007/9,46.46193333
2007/10,18.10177419
2007/11,2.232
2007/12,1.686
2008/1,2.394
2008/2,1.644862069
2008/3,1.900322581
2008/4,6.210266667
2008/5,10.41190323
2008/6,3.333466667
2008/7,9.810419355
2008/8,26.91409677
2008/9,27.72703333
2008/10,24.64377419
2008/11,31.69236667
2008/12,1.591096774
2009/1,1.429354839
2009/2,2.118964286
2009/3,3.070354839
2009/4,16.19756667
2009/5,15.23193548
2009/6,8.816133333
2009/7,23.05180645
2009/8,24.06222581
2009/9,14.07693333
2009/10,16.60390323
2009/11,5.5169
2009/12,2.501903226
2010/1,4.066225806
2010/2,3.083107143
2010/3,22.0083871
2010/4,28.1509
2010/5,39.41874194
2010/6,11.3853
2010/7,24.91380645
2010/8,26.47570968
2010/9,26.19286667
2010/10,10.61225806
2010/11,2.2036
2010/12,1.450096774
2011/1,1.306322581
2011/2,1.191964286
2011/3,1.354451613
2011/4,2.289633333
2011/5,14.98616129
2011/6,23.33183333
2011/7,12.70174194
2011/8,2.6866129
2011/9,16.38673333
2011/10,7.039096774
2011/11,22.312
2011/12,5.149483871
2012/1,2.091354839
2012/2,1.801310345
2012/3,1.74216129
2012/4,21.82766667
2012/5,21.79125807
2012/6,1.947866667
2012/7,13.7056129
2012/8,39.72606452
2012/9,47.7553
2012/10,26.36751613
2012/11,2.2559
2012/12,2.484451613
2013/1,11.19851613
2013/2,19.42953929
2013/3,4.075258065
2013/4,39.9091
2013/5,25.40227419
2013/6,12.21903
2013/7,25.81809677
2013/8,24.40945161
2013/9,28.3929
2013/10,42.25890323
2013/11,1.723166667
2013/12,1.533225806
2014/1,1.655290323
2014/2,1.680142857
2014/3,1.997225806
2014/4,12.2847
2014/5,24.16990323
2014/6,28.67043
2014/7,22.33464516
2014/8,26.18077419
2014/9,35.1678
2014/10,24.78267742
2014/11,2.218866667
2014/12,1.66516129
2015/1,1.363741935
2015/2,1.360607143
2015/3,2.646322581
2015/4,3.5943
2015/5,2.607716129
2015/6,2.870833333
2015/7,19.62170968
2015/8,20.22135484
2015/9,15.22413333
2015/10,14.30180645
2015/11,23.67076667
2015/12,11.54841936
2016/1,1.419645161
2016/2,1.670344828
2016/3,2.18283871
2016/4,25.36653333
2016/5,39.67677419
2016/6,20.71973333
2016/7,23.87774194
2016/8,26.54164516
2016/9,17.722
2016/10,33.44729032
2016/11,13.81166667
2016/12,15.51606452
2017/1,1.330193548
2017/2,1.457392857
2017/3,1.61783871
2017/4,2.313333333
2017/5,30.95445161
2017/6,27.494
2017/7,23.8223871
2017/8,21.50309355
2017/9,27.62226667
2017/10,24.80290323
2017/11,22.67793333
2017/12,11.70493548
2018/1,1.516064516
2018/2,1.456
2018/3,11.456
2018/4,22.9103
2018/5,19.5116129
2018/6,17.494
2018/7,13.8223871
2018/8,21.50309355
2018/9,17.62226667
2018/10,14.80290323
2018/11,22.67793333
2018/12,11.70493548
